"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Расчёт базовой стоимости для различных дистанций [4] 35.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateBaseCostTest"
"","1","Проверка входных данных на null [4] 12.0, SMALL, NOT_FRAGILE, null","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","validateDataTest"
"","3","Граничные случаи дистанции для расчёта стоимости доставки [1] 2.0, SMALL, NOT_FRAGILE, VERY_HEAVY, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateBoarderDistanceCasesTest"
"","1","Расчет стоимости доставки для различных уровней нагрузки [4] 30.0, SMALL, NOT_FRAGILE, VERY_HEAVY, 480.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateWorkLoadCostTest"
"","2","Хрупкий груз на расстояние больше 30км","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","validateFragileDistanceTest"
"","2","Проверка расстояния на <= 0 [2] -1.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","validateDistanceLessOrEqualZeroTest"
"","63","Расчет стоимости доставки для различных видов хрупкости груза [1] 30.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateFragileCostTest"
"","2","Граничные случаи дистанции для расчёта стоимости доставки [3] 30.0, LARGE, FRAGILE, INTENSE, 840.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateBoarderDistanceCasesTest"
"","3","Расчёт базовой стоимости для различных дистанций [3] 15.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateBaseCostTest"
"","3","Проверка входных данных на null [1] null, SMALL, NOT_FRAGILE, HEAVY","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты валидации данных","org.example.service.DeliveryServiceTest$ValidationTests","validateDataTest"
"","2","Проверка входных данных на null [3] 12.0, SMALL, null, HEAVY","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты валидации данных","org.example.service.DeliveryServiceTest$ValidationTests","validateDataTest"
"","2","Расчет стоимости доставки для различных размеров груза [1] 30.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateSizeCostTest"
